date,temperature_mean_c,temperature_max_c,temperature_min_c,relative_humidity_pct,precipitation_mm,wind_speed_10m_m_s,surface_pressure_hpa,shortwave_radiation_mean_w_m2,available_weather_hours,wind_direction_10m_deg,surface_pressure_kpa,shortwave_radiation_kwh_m2_day,weather_data_status,pm25_ug_m3,month,day_of_week,day_of_year,wet_season,month_sin,month_cos,day_of_week_sin,day_of_week_cos,day_of_year_sin,day_of_year_cos,wind_direction_sin,wind_direction_cos,pm25_lag_1,pm25_lag_2,pm25_lag_3,pm25_lag_7,pm25_lag_14,pm25_rolling_mean_3,pm25_rolling_std_3,pm25_rolling_mean_7,pm25_rolling_std_7,pm25_rolling_mean_14,pm25_rolling_std_14,pm25_previous_day_change,pm25_3day_vs_14day,target_pm25_ug_m3
2023-04-26,23.508333333333336,29.0,20.2,90.95833333333331,6.7,1.5279166666666668,1005.0083333333332,237.70833333333331,24,29.70721149795727,100.50083333333332,5.705,Complete,4.96231,4,2,116,1,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.9111686353326631,-0.41203363695942635,0.4955679942775573,0.8685691469582136,4.5608673,2.3199434,4.8582826,3.4320352,4.1672907,3.913031099999999,1.387645588789509,4.937802642857143,1.7610306293165612,5.4073559,1.6825911562552147,2.2409239,-1.4943248000000007,4.96231
2023-04-27,24.5875,29.5,21.2,85.29166666666667,0.3,1.79625,1004.8416666666668,207.58333333333331,24,28.745327615302703,100.48416666666668,4.982,Complete,3.8409882,4,3,117,1,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.9039461929224011,-0.42764620926777464,0.4809172715710323,0.876765976703404,4.96231,4.5608673,2.3199434,6.5452924,4.590106,3.9477068999999987,1.4239029353488262,5.156413328571429,1.6333046184332758,5.464142992857142,1.6506321937238946,0.4014427000000005,-1.5164360928571434,3.8409882
2023-04-28,24.995833333333334,31.4,21.7,91.125,7.2,1.4258333333333333,1003.0041666666666,216.33333333333331,24,324.072215899171,100.30041666666666,5.192,Complete,4.326722,4,4,118,1,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.8964562582905575,-0.44313223418263453,-0.5867650964414601,0.8097571991640728,3.8409882,4.96231,4.5608673,7.504902,5.70774,4.454721833333333,0.5681468030881005,4.770084157142857,1.568582717642525,5.410634578571428,1.6927499932983878,-1.1213218000000005,-0.9559127452380949,4.326722
2023-04-29,24.98333333333333,31.5,21.6,90.45833333333331,4.3,1.2229166666666669,1004.1583333333332,237.58333333333331,24,351.3204937238693,100.41583333333332,5.702,Complete,1.9984157,4,5,119,1,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.8887010478292915,-0.45848712914008766,-0.15090724316190568,0.9885479269925528,4.326722,3.8409882,4.96231,5.3432956,4.8095,4.376673399999999,0.5623273082114044,4.316058442857143,1.0030849396294776,5.311990435714286,1.7142075659080858,0.4857338000000002,-0.935317035714287,1.9984157
2023-04-30,25.5875,30.4,22.7,87.70833333333333,0.9,1.2320833333333334,1006.5916666666668,220.79166666666663,24,40.07983999124728,100.65916666666666,5.299,Complete,4.779608,4,6,120,1,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.8806828564301475,-0.47370635037968,0.643854445774596,0.7651479939569127,1.9984157,4.326722,3.8409882,4.8582826,6.442484,3.3887086333333323,1.2282793499334945,3.8382184571428577,1.2079604518595424,5.1111987,1.9287986879553631,-2.3283063000000004,-1.7224900666666678,4.779608
2023-05-01,25.079166666666666,29.6,22.9,92.83333333333331,8.2,1.3862500000000002,1008.1166666666668,231.33333333333331,24,71.12880824172123,100.81166666666668,5.552,Complete,5.866241,5,0,121,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.8724040568049612,-0.48878539428899265,0.946248104479398,0.32344168681409385,4.779608,1.9984157,4.326722,2.3199434,8.787389,3.701581899999999,1.4922659819435073,3.8269792285714286,1.1972057671641074,4.9924218428571425,1.8913478624798121,2.7811923,-1.2908399428571435,5.866241
2023-05-02,23.554166666666664,26.2,21.8,96.20833333333331,12.3,1.575416666666667,1008.9291666666668,222.95833333333331,24,78.51277077078377,100.89291666666666,5.351,Complete,12.149897,5,1,122,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.8638670987837349,-0.503719798736334,0.9799691177959973,0.19914951209112927,5.866241,4.779608,1.9984157,4.5608673,6.6338544,4.214754899999999,1.9948213970841422,4.333593171428571,1.2035113673273725,4.783768414285715,1.5751882483305522,1.086633,-0.5690135142857162,12.149897
2023-05-03,23.1,27.1,21.0,89.25,9.9,2.2154166666666666,1007.0291666666668,182.875,24,85.93693774912151,100.70291666666668,4.389,Complete,11.634761,5,2,123,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.8550745085896932,-0.518505144391157,0.9974866690042347,0.07085439406865598,12.149897,5.866241,4.779608,4.96231,3.4320352,7.598581999999998,3.9788244483881243,5.4177402714285705,3.2017173812833337,5.177771457142858,2.4949106481246344,6.283656,2.42081054285714,11.634761
2023-05-04,22.579166666666666,25.5,20.7,97.0,18.4,1.37375,1004.3166666666666,228.08333333333331,24,33.19789150933351,100.43166666666666,5.474,Complete,9.284961,5,3,124,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8460288880917339,-0.533137056031809,0.5475324301077141,0.8367844632761421,11.634761,12.149897,5.866241,3.8409882,6.5452924,9.883632999999998,3.4886845853232566,6.370947557142856,3.9494654962887616,5.763680442857143,2.9711251037939097,-0.515136,4.119952557142855,9.284961
2023-05-05,22.829166666666666,25.2,21.0,97.41666666666669,18.1,1.0091666666666663,1003.5791666666668,225.25,24,10.576241584293651,100.35791666666668,5.406,Complete,5.9748545,5,4,125,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.8367329140344921,-0.5476112038402312,0.18354374830263862,0.9830115423834136,9.284961,11.634761,12.149897,4.326722,7.504902,11.023206333333333,1.5272406175077524,7.148657957142857,3.9039853989381363,5.9593710571428575,3.1133826403795446,-2.3498,5.063835276190475,5.9748545
